date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:01	531/531	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Mar%202025%2008:08:01%20GMT	https://www.kyoto-be.ne.jp/robots.txt		(from )
15:08:01	44103/44103	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Mar%202025%2023:43:27%20GMT	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/index.html	(from )
15:08:01	668/668	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Mar%202025%2008:08:01%20GMT	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/item/favicon.ico	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/item/favicon.ico	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
15:08:02	15632/15632	---MCZ	200	added ('OK')	text/css	etag:W/%223d10-555e7df32ad80%22	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/js/vegas/vegas.css	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/js/vegas/vegas.css	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
15:08:02	668/668	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Mar%202025%2008:08:02%20GMT	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/sitemap/	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/sitemap/index.html	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
15:08:02	3007/3007	---MCZ	200	added ('OK')	text/css	etag:W/%22bbf-555e7dd4a6580%22	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/js/jquery.fatNav.css	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/js/jquery.fatNav.css	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
15:08:03	7806/7806	---MCZ	200	added ('OK')	text/css	etag:W/%221e7e-555e81378a2c0%22	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/css/normalize.css	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/css/normalize.css	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
15:08:03	1738/1738	---MCZ	200	added ('OK')	text/css	etag:W/%226ca-555e813a66980%22	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/css/reset.css	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/css/reset.css	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
15:08:03	46746/46746	---MCZ	200	added ('OK')	text/css	etag:W/%22b69a-555e816645100%22	https://www.kyoto-be.ne.jp/yamashiro-hs/mt/bootstrap/css/bootstrap.min.css	E:/CloneWWeb/tottori/tottori/www.kyoto-be.ne.jp/yamashiro-hs/mt/bootstrap/css/bootstrap.min.css	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
15:08:04	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	E:/CloneWWeb/tottori/tottori/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.kyoto-be.ne.jp/yamashiro-hs/mt/)
